split,feature,n,mean,std,min,max,zero_frac
train,distinct_resources_60min,19209477,9.284696,5.283933,0.0,62.0,0.025279
train,distinct_actions_60min,19209477,1.240754,0.523824,0.0,4.0,0.025279
train,asn_novelty,19209477,0.001015,0.031845,0.0,1.0,0.998985
train,geodesic_distance_km,19209477,36.798241,664.455607,0.0,19988.106871,0.996334
train,device_fingerprint_match,19209477,0.998982,0.031892,0.0,1.0,0.001018
train,log_mfa_age,19209477,9.133662,1.202512,0.0,12.940055,5.4e-05
train,host_novelty,19209477,0.001018,0.031892,0.0,1.0,0.998982
val,principal_type,3251437,0.150364,0.357428,0.0,1.0,0.849636
val,role_tenure_days,3251437,331.111777,17.174721,302.299456,365.270451,0.0
val,policy_breadth,3251437,3.263966,0.440781,3.0,4.0,0.0
val,cross_account_depth,3251437,3.76731,0.521828,1.0,4.0,0.0
val,is_supervisor,3251437,0.004706,0.06844,0.0,1.0,0.995294
val,hour_sin,3251437,-0.123267,0.640269,-1.0,1.0,1e-06
val,hour_cos,3251437,-0.692415,0.308905,-1.0,1.0,0.0
val,dow_sin,3251437,0.376145,0.532789,-0.974928,0.974928,0.203398
val,dow_cos,3251437,-0.019871,0.757796,-0.900969,1.0,0.0
val,modal_hour_deviation,3251437,0.335376,0.243307,0.0,1.0,0.128484
val,log_inter_request_gap,3251437,4.701943,1.906107,0.0,12.916964,0.011997
val,action_frequency,3251437,0.905185,0.204158,0.0,0.993413,2e-06
val,read_write_ratio,3251437,0.987411,0.013264,0.871016,0.997597,0.0
val,first_time_action,3251437,2e-06,0.001358,0.0,1.0,0.999998
val,action_class_entropy,3251437,0.210234,0.1858,0.043975,1.147024,0.0
val,log_action_history,3251437,8.160564,0.559786,5.771297,9.45154,0.0
val,is_session_action,3251437,0.02829,0.165799,0.0,1.0,0.97171
val,is_egress_action,3251437,0.97171,0.165799,0.0,1.0,0.02829
val,resource_sensitivity,3251437,0.791461,0.090114,0.3,1.0,0.0
val,cross_account_flag,3251437,0.028027,0.165049,0.0,1.0,0.971973
val,resource_novelty,3251437,0.968124,0.033168,0.436537,1.0,0.0
val,arn_prefix_depth,3251437,0.084343,0.365079,0.0,2.0,0.943684
val,first_time_resource,3251437,0.016055,0.125687,0.0,1.0,0.983945
val,calls_1min,3251437,0.894377,2.670631,0.0,126.0,0.643893
val,calls_15min,3251437,5.368291,7.426488,0.0,161.0,0.107651
val,calls_60min,3251437,14.469949,12.464087,0.0,299.0,0.025099
val,log_bytes_read_60min,3251437,7.938998,1.80827,0.0,11.587745,0.039717
val,distinct_resources_60min,3251437,9.37709,5.359159,0.0,57.0,0.025099
val,distinct_actions_60min,3251437,1.238257,0.521288,0.0,4.0,0.025099
val,asn_novelty,3251437,0.000517,0.022739,0.0,1.0,0.999483
val,geodesic_distance_km,3251437,35.03141,642.981075,0.0,19980.665196,0.99647
val,device_fingerprint_match,3251437,0.99948,0.022806,0.0,1.0,0.00052
val,log_mfa_age,3251437,9.149495,1.198643,0.0,13.159314,2e-06
val,host_novelty,3251437,0.00052,0.022806,0.0,1.0,0.99948
test,principal_type,7675354,0.147881,0.354982,0.0,1.0,0.852119
test,role_tenure_days,7675354,429.120634,38.736342,363.204977,499.974861,0.0
test,policy_breadth,7675354,3.254879,0.435793,3.0,4.0,0.0
test,cross_account_depth,7675354,3.763452,0.528859,1.0,4.0,0.0
test,is_supervisor,7675354,0.004986,0.070433,0.0,1.0,0.995014
test,hour_sin,7675354,-0.119531,0.638943,-1.0,1.0,2e-06
test,hour_cos,7675354,-0.696771,0.303271,-1.0,1.0,0.0
test,dow_sin,7675354,0.331635,0.532394,-0.974928,0.974928,0.206066
test,dow_cos,7675354,-0.05571,0.776835,-0.900969,1.0,0.0
test,modal_hour_deviation,7675354,0.334013,0.242057,0.0,1.0,0.129188
test,log_inter_request_gap,7675354,4.694898,1.903218,0.0,12.678452,0.011997
test,action_frequency,7675354,0.90671,0.202442,0.0,0.993336,1e-06
test,read_write_ratio,7675354,0.987634,0.013166,0.872264,0.997599,0.0
test,first_time_action,7675354,1e-06,0.000955,0.0,1.0,0.999999
test,action_class_entropy,7675354,0.207543,0.184927,0.044391,1.145117,0.0
test,log_action_history,7675354,8.161519,0.561487,5.754657,9.450348,0.0
test,is_session_action,7675354,0.027889,0.164654,0.0,1.0,0.972111
test,is_egress_action,7675354,0.972111,0.164654,0.0,1.0,0.027889
test,resource_sensitivity,7675354,0.79154,0.089429,0.3,1.0,0.0
test,cross_account_flag,7675354,0.02742,0.163305,0.0,1.0,0.97258
test,resource_novelty,7675354,0.968565,0.032923,0.437618,1.0,0.0
test,arn_prefix_depth,7675354,0.08273,0.361561,0.0,2.0,0.944691
test,first_time_resource,7675354,0.015347,0.122928,0.0,1.0,0.984653
test,calls_1min,7675354,0.902414,2.841685,0.0,161.0,0.642749
test,calls_15min,7675354,5.376879,7.474402,0.0,283.0,0.106505
test,calls_60min,7675354,14.561594,12.398933,0.0,321.0,0.024995
test,log_bytes_read_60min,7675354,7.947902,1.809549,0.0,11.62333,0.039687
test,distinct_resources_60min,7675354,9.479745,5.440871,0.0,61.0,0.024995
test,distinct_actions_60min,7675354,1.238778,0.518747,0.0,4.0,0.024995
test,asn_novelty,7675354,0.000389,0.01972,0.0,1.0,0.999611
test,geodesic_distance_km,7675354,28.904329,584.413536,0.0,19962.259833,0.997092
test,device_fingerprint_match,7675354,0.999607,0.019819,0.0,1.0,0.000393
test,log_mfa_age,7675354,9.121811,1.198666,0.0,12.755468,1e-06
test,host_novelty,7675354,0.000393,0.019819,0.0,1.0,0.999607
