split,feature,n,mean,std,min,max,zero_frac
test,hour_cos,555618,-0.702749,0.296754,-1.0,1.0,0.0
test,dow_sin,555618,0.266088,0.515414,-0.974928,0.974928,0.318028
test,dow_cos,555618,0.09637,0.808863,-0.900969,1.0,0.0
test,modal_hour_deviation,555618,0.311518,0.232481,0.0,1.0,0.12958
test,log_inter_request_gap,555618,4.70152,1.917039,0.0,12.364874,0.012345
test,action_frequency,555618,0.903007,0.204734,0.002293,0.993569,0.0
test,read_write_ratio,555618,0.987339,0.013191,0.872116,0.997707,0.0
test,first_time_action,555618,0.0,0.0,0.0,0.0,1.0
test,action_class_entropy,555618,0.216633,0.19101,0.043058,1.157598,0.0
test,log_action_history,555618,7.375973,0.560874,4.886709,8.718553,0.0
test,is_session_action,555618,0.02801,0.165002,0.0,1.0,0.97199
test,is_egress_action,555618,0.97199,0.165002,0.0,1.0,0.02801
test,resource_sensitivity,555618,0.791736,0.089902,0.3,1.0,0.0
test,cross_account_flag,555618,0.028703,0.166971,0.0,1.0,0.971297
test,resource_novelty,555618,0.965764,0.034512,0.427894,1.0,0.0
test,arn_prefix_depth,555618,0.085417,0.36814,0.0,2.0,0.943287
test,first_time_resource,555618,0.027269,0.162865,0.0,1.0,0.972731
test,calls_1min,555618,0.924896,3.021091,0.0,104.0,0.643964
test,calls_15min,555618,5.3742,7.805767,0.0,162.0,0.107615
test,calls_60min,555618,14.446402,12.756385,0.0,232.0,0.025048
test,log_bytes_read_60min,555618,7.924519,1.818462,0.0,11.326632,0.04044
test,distinct_resources_60min,555618,9.236697,5.252105,0.0,52.0,0.025048
test,distinct_actions_60min,555618,1.243235,0.524213,0.0,4.0,0.025048
test,asn_novelty,555618,0.001289,0.035875,0.0,1.0,0.998711
test,geodesic_distance_km,555618,38.183745,673.315682,0.0,19849.816652,0.996163
test,device_fingerprint_match,555618,0.998711,0.035875,0.0,1.0,0.001289
test,log_mfa_age,555618,9.124848,1.206752,0.0,12.469748,4e-06
test,host_novelty,555618,0.001289,0.035875,0.0,1.0,0.998711
